"星","xīng,er=y","Noun => 1. star  2. heavenly body"
"球","qiú","Adjective => 1. round | Noun => 1. ball  2. sphere"
"心","xīn","Noun => 1. heart (Beginning Chinese)  2. mind"
"就","jiù","Preposition => 1. concerning | Conjunction => 1. even if  2. even though"
"些","xiē,suò","Adjective => 1. little  2. few | Adverb => 1. rather  2. somewhat"
"女","nǚ,rǔ","Noun => 1. woman (Beginning Mandarin)  2. female | Pronoun => 1. thou  2. 汝"
"中國","Zhōngguó","Proper noun => 1. China"
"政府","zhèngfǔ","Noun => 1. government"
"世界","shìjiè,tl=y","Noun => 1. world"
"信","xìn|ma=y","Verb => 1. believe  2. religious | Adverb => 1. at will  2. truly"
"東","dōng","Noun => 1. east  2. eastern"
"第一","dì一","Noun => 1. first  2. 1st | Adverb => 1. firstly"
"日本","","Proper noun => 1. Japan"
"我","wǒ","Pronoun => 1. I  2. me"
"夫","fū,fú","Noun => 1. husband  2. man | Pronoun => 1. classical"
"人口","rénkǒu","Noun => 1. population (Elementary Mandarin)  2. number (Elementary Mandarin)"
"並","bìng","Adverb => 1. moreover  2. furthermore"
"共和","gònghé","Noun => 1. republicanism"
"使用","shǐyòng,tl=y","Verb => 1. use  2. utilize"
"可以","kěyǐ","Adjective => 1. passable  2. pretty | Verb => 1. can  2. may"
"空","kōng","Adjective => 1. vacant  2. unoccupied | Noun => 1. spare time  2. free time"
"香港","Xiānggǎng","Proper noun => 1. Hong Kong"
"六","liù","Numeral => 1. six"
"神","shén","Noun => 1. god  2. deity | Proper noun => 1. Shen"
"直","xuán,zhí","Adjective => 1. straight | Verb => 1. worth (classical)"
"書","shū","Verb => 1. write (classical) | Proper noun => 1. abbreviation of {{zh-l"
"開","kāi","Verb => 1. open  2. start"
"手","shǒu","Adjective => 1. convenient  2. handy | Noun => 1. hand  2. expert"
"文化","wénhuà","Noun => 1. culture"
